iter	Passed	Remaining
0	141	28149
1	141	14054
2	142	9369
3	143	7038
4	144	5628
5	145	4700
6	146	4033
7	147	3535
8	147	3135
9	148	2812
10	148	2558
11	149	2344
12	150	2165
13	151	2012
14	152	1876
15	153	1759
16	153	1651
17	154	1560
18	154	1476
19	155	1402
20	156	1332
21	156	1270
22	157	1215
23	158	1163
24	159	1116
25	160	1073
26	161	1033
27	162	996
28	163	962
29	164	930
30	165	901
31	166	872
32	167	846
33	167	819
34	168	793
35	169	771
36	170	749
37	171	729
38	171	709
39	172	689
40	172	670
41	173	652
42	173	635
43	174	620
44	175	605
45	176	590
46	177	576
47	177	563
48	178	551
49	179	539
50	180	527
51	181	517
52	182	505
53	183	495
54	184	485
55	185	476
56	186	466
57	186	457
58	187	448
59	188	439
60	189	431
61	189	422
62	190	414
63	191	407
64	192	399
65	193	392
66	193	384
67	194	377
68	195	371
69	196	364
70	197	358
71	198	352
72	199	346
73	200	341
74	200	334
75	201	328
76	202	323
77	203	318
78	204	312
79	204	307
80	205	302
81	206	297
82	207	292
83	208	288
84	209	283
85	210	278
86	211	274
87	212	269
88	213	265
89	213	261
90	214	257
91	215	253
92	216	249
93	217	245
94	218	241
95	219	237
96	220	233
97	221	230
98	222	226
99	223	223
100	224	219
101	225	216
102	225	212
103	226	209
104	227	206
105	228	202
106	229	199
107	230	195
108	230	192
109	231	189
110	232	186
111	233	183
112	234	180
113	235	177
114	236	174
115	236	171
116	237	168
117	238	165
118	239	163
119	240	160
120	241	157
121	242	155
122	243	152
123	244	149
124	245	147
125	246	144
126	247	142
127	248	139
128	249	137
129	250	134
130	251	132
131	252	129
132	252	127
133	253	125
134	254	122
135	255	120
136	257	118
137	258	115
138	259	113
139	260	111
140	260	109
141	261	106
142	263	104
143	264	102
144	265	100
145	266	98
146	267	96
147	268	94
148	269	92
149	270	90
150	271	88
151	272	86
152	273	83
153	274	81
154	275	79
155	276	77
156	276	75
157	277	73
158	278	71
159	279	69
160	280	67
161	281	66
162	282	64
163	283	62
164	284	60
165	285	58
166	286	56
167	287	54
168	288	52
169	289	51
170	289	49
171	290	47
172	291	45
173	292	43
174	293	41
175	294	40
176	295	38
177	296	36
178	297	34
179	298	33
180	299	31
181	300	29
182	301	27
183	302	26
184	303	24
185	304	22
186	305	21
187	306	19
188	307	17
189	308	16
190	308	14
191	309	12
192	310	11
193	311	9
194	312	8
195	313	6
196	314	4
197	315	3
198	316	1
199	317	0
